App;MedianMemory_MB;Pct95_Median_MB;Pct99_Median_MB;MeanSampleCount;SpikeFlag;LowSamplesFlag;AlwaysHighFlag
858983d6cc87f025495232c8c765fbd82a89368942782eb922a56d5604fa5330;832.0;1340.5;1370.0;17272.333333333332;False;False;True
b8e4bf98740f3f0ffc149a5d6c7ff08d6e4204925e24797fdfb55dbbcce4e4a0;831.5;955.0;963.5;12071.5;False;False;True
b17a9b7e7b621141bdd59acfedf4f685ed82702731bdc1fd4dc6d932850be462;824.0;1285.0;1305.5;17225.5;False;False;True
e3efeb2f5d255dbc09dd7347012e11075c14de49dcdc3518fe21ca14cd9166f8;817.0;989.0;992.5;17259.25;False;False;True
f6973cdb4b043b09df75b119a68195729e79bce3e5e1aa5775061102bf53aed3;816.5;878.0;1009.0;976.3333333333334;False;False;True
7061ea8af6711ac14330469eee37c4be7a4f22f8ca4261128b71ba887cd7454a;816.5;1175.5;1188.0;17196.833333333332;False;False;True
d8e05c492a4dce708bc1815fa3254cabb1d5c6829da0560061b2a1d203cc1cfd;810.0;994.0;1068.5;17232.75;False;False;True
8ab2dbeae017990aa4ee3efabd19587574bcafd41f53d50685295a6fe6649a7e;808.0;1470.0;1518.0;17248.75;False;False;True
9084e34be454ae17a58ff44915139698640dfc47cd8043f609a89de1e5983d73;806.0;1392.0;1493.0;17066.636363636364;False;False;True
1f8e408aefd6c7d7f20709a921dee1f421f108b70366b31cd40b85d4ca4ea10f;802.0;1333.0;1412.0;17222.25;False;False;True
9574efff3e7a2116364d65c3e3f153b4e5b289b65ba9f385444e6b26975f5307;794.0;843.5;845.0;17250.666666666668;False;False;True
4e2aecd30f4242f4d2f7284a97c807ada8844d3885f3b424a49e0b0f33ae54e7;781.5;1390.5;1475.0;68952.5;False;False;True
c48859281eb8efa5d5be33e3269512d27ae0b0ddeec0e954f48262a8f9079ab2;778.5;1160.5;1188.5;17253.25;False;False;True
135cce284b862b4223b6280c269b3e3f44ab0858e8045b0b57d25261049c0d87;770.0;903.5;906.5;17246.166666666668;False;False;True
4ef304a369891cbefdb892dc8ebf676cebe621203d8af5403300a878a8e53135;751.5;851.0;898.5;265.25;False;False;True
71005ef2a717dd988dddb345c63ca86219c683a2713c5925b0b2d78f60b6819f;746.0;1354.0;1392.5;352.0;False;False;True
e5d774ed41b90c1fbeb33a3263228830febb38932a3141a90e05e457e6d8d9fd;745.0;875.0;886.5;17263.916666666668;False;False;True
fd68674c52149529989c41d4bffc397cfef338b5a9586ba6f1b28d65675ec30f;742.0;937.0;1017.0;15675.0;False;False;True
7101f016d934babefb00e91e56debdc0968557d0ad5550e79d55e2c1cb232be1;733.0;1362.5;1479.5;1037280.1666666666;False;False;True
cd99de4549e375c61302c6a391d357eb2a6fef4dda91dd45bf707f92a79277a2;728.5;980.5;1007.5;17250.25;False;False;True
3bea4aa6ca1be84905dff79f76a8bcaad5ae638e41ea16c98e09e591ab3f0c66;723.0;1338.0;1422.0;63872.0;False;False;True
8920728b3de1e77e35461bd3dfa8a94617d53e08fec6136a030c7bad5f06b7c3;711.0;1341.0;1484.0;17598.416666666668;False;False;True
349db256fb473594d6bf26fa1fdaccc0318b9d46377a418b68287e4e942799c6;708.0;760.0;764.0;7311.0;False;False;True
9cd60b5bc4503e77a8e92d9261e6466452e64e02a4eb30204db50beb13823de7;707.5;887.5;887.5;17208.5;False;False;True
44c4a6685b8cf588e30f9a8f8860e4ef4daa68052f74e4d3c5b06b046f4ab9ea;703.5;745.0;765.5;20034.916666666668;False;False;True
dcfc2e67aa0d6e21e35b7b873303636038b06abd802aee2685fda89311e24917;702.5;791.0;799.5;17251.916666666668;False;False;True
96f9d9d1d2adc33d126b3e3f8b324ede522aa9686f193fd03a9dc19c2d82997c;698.0;776.0;788.0;17095.571428571428;False;False;True
6cb16c23ad4975f1aa8ffdf7eaedd025c28f52d6d6b802abe6900581e56bf684;694.5;815.5;945.0;17103.833333333332;False;False;True
4b406eecd21cbe4bcf8c573c97d49e2567b91e8811ccd4609dc86730ee4bad28;688.5;1287.5;1442.0;73832.41666666667;False;False;True
93db1e4c30e99d1c416ee453dd67504641b88144e23219c1cdc61ddb7584a57e;682.5;1154.5;1333.5;34874.083333333336;False;False;True
bd15c9ae83bab3e85c6ea465d1a7a081dd54d0fdbff8ce6a1d3817c1bb62c7c1;675.0;874.0;1090.5;17181.583333333332;False;False;True
26fb91696d3e9c65f50aa5991e8a3e4f6f40bae72a6e86f71e8b925d5797141b;669.5;1348.0;1452.5;1915.1666666666667;False;False;True
1c58668b3ec8860b211978229cc6b9fa1e916f63f1f95a7e5ae7777268bf9a3c;669.0;990.5;1022.5;17321.583333333332;False;False;True
e56e66bc13268727c1858cc881eb390ff7d01bf78d22c84fee0914726dd17e19;661.5;1082.0;1202.5;17195.833333333332;False;False;True
02ca6aca0a24f0cb26745308683a7c1bc90e0ef224ec2cf4e505414b6384c802;657.0;705.0;735.0;252.0;False;False;True
f980760561a643de491ac0f997688bf0611ebb4ba0d1ba6cac631f2383db2fe4;655.5;1157.5;1184.0;21186.75;False;False;True
40bac26998e34acb19cff31db7ea40b09db4a8629d2a18cd4ee89dc7677529dc;636.0;653.0;704.0;256.6666666666667;False;False;True
0774b2bf62d8c776fb2f4aea26562ddc9a6d68a6f98bf260f8599ef5a5493824;636.0;660.0;664.5;17212.0;False;False;True
6ef6c937c7c009b808b6c901b778da9c3c2401541dc203154781d9b423ca2f79;628.5;967.5;1096.0;16265.3;False;False;True
6c307d12a74a326abdaf7c31d95748f24084fae9c57e59f2d5852f476d364a2c;625.5;801.0;815.0;10975.8;False;False;True
b43689e00bada36d22308b7ff6b44e8ccb8a9799879fd2767936929d6dcb1b6d;623.0;1066.0;1121.5;16245.5;False;False;True
5576382d8123faec2079b52743a375ec5ac146b558155cd86117e2238323699e;622.5;653.5;653.5;16259.9;False;False;True
383d96afc4e0f941f036ef43dd1ed1801f3f8344a0be3a11e8d813cc54f52bc1;622.0;1194.0;1326.5;18905.916666666668;False;False;True
